whisky,normalised_rating,stdev,num_of_reveiws,price_category,class,super_cluster,cluster,body,sweetness,base_flavour,winey,fruity,floral,honey,malty,nutty,spicy,smoky,medicinal,some_fruity,some_honey,some_malty,some_nutty,some_spicy,some_smoky,some_medicinal,country,type
"Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)",9.57,0.24,3,6,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Ledaig 42yo Dusgadh,9.48,0.23,3,6,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)",9.42,0.23,4,6,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
Glenfarclas 40yo,9.29,0.26,17,6,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Glengoyne 25yo,9.24,0.22,21,6,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Amrut Spectrum (Batch 1),9.21,0.24,14,5,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,India,Malt
Highland Park 25yo,9.18,0.19,18,6,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
Highland Park 40yo,9.16,0.43,10,6,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
Tamdhu 30yo (MacPhail Collection 2009),9.16,0.18,3,5,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Balvenie TUN 1401 (all batches),9.15,0.3,19,6,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Kavalan Solist Oloroso Sherry Cask,9.15,0.14,5,6,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Taiwan,Malt
Aberlour A'Bunadh (Batch 33),9.13,0.15,5,4,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Aberlour A'Bunadh (Batch 37),9.13,0.1,3,4,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Highland Park 30yo,9.13,0.41,14,6,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
Laphroaig 25yo,9.13,0.28,23,6,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
Nikka Single Cask Coffey Malt 12yo,9.12,0.49,9,5,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Japan,Malt
Yamazaki 18yo,9.12,0.27,23,5,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Japan,Malt
Aberlour A'Bunadh (Batch 40),9.11,0.15,4,4,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Aberlour A'Bunadh (Batch 49),9.1,0.2,10,4,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Aberlour A'Bunadh (Batch 56),9.09,0.22,5,4,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Compass Box Last Vatted Malt,9.09,0.16,4,5,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
Redbreast 21yo,9.09,0.29,20,5,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Ireland,Malt
Yamazaki Sherry Cask (all vintages),9.09,0.33,11,6,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Japan,Malt
Bruichladdich 21yo Cuvée 407 PX,9.08,0.17,8,6,SingleMalt-like,ABC,A,full,sweet,sherry,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Scotland,Malt
Amrut Greedy Angels (8yo and 10yo),9.07,0.2,13,6,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,India,Malt
BenRiach 18yo Albariza Pedro Ximenez Peated,9.07,0.19,8,5,SingleMalt-like,ABC,C,full,sweet,sherry,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Scotland,Malt
